close,datetime,exchange_code,high,low,open,stock_code,volume
11.97,2025-11-27 09:07:00,NSE,11.97,11.97,11.97,INDVIX,0
11.97,2025-11-27 09:08:00,NSE,11.97,11.97,11.97,INDVIX,0
11.97,2025-11-27 09:09:00,NSE,11.97,11.97,11.97,INDVIX,0
11.97,2025-11-27 09:10:00,NSE,11.97,11.97,11.97,INDVIX,0
11.97,2025-11-27 09:11:00,NSE,11.97,11.97,11.97,INDVIX,0
11.97,2025-11-27 09:12:00,NSE,11.97,11.97,11.97,INDVIX,0
11.97,2025-11-27 09:13:00,NSE,11.97,11.97,11.97,INDVIX,0
11.97,2025-11-27 09:14:00,NSE,11.97,11.97,11.97,INDVIX,0
11.96,2025-11-27 09:15:00,NSE,11.99,11.55,11.97,INDVIX,0
11.93,2025-11-27 09:16:00,NSE,11.98,11.89,11.95,INDVIX,0
11.9,2025-11-27 09:17:00,NSE,11.97,11.89,11.89,INDVIX,0
11.9,2025-11-27 09:18:00,NSE,11.93,11.88,11.91,INDVIX,0
11.92,2025-11-27 09:19:00,NSE,11.94,11.87,11.91,INDVIX,0
11.89,2025-11-27 09:20:00,NSE,11.97,11.8,11.93,INDVIX,0
11.87,2025-11-27 09:21:00,NSE,11.9,11.84,11.9,INDVIX,0
11.82,2025-11-27 09:22:00,NSE,11.93,11.82,11.87,INDVIX,0
11.89,2025-11-27 09:23:00,NSE,11.91,11.82,11.82,INDVIX,0
11.88,2025-11-27 09:24:00,NSE,11.94,11.85,11.89,INDVIX,0
11.87,2025-11-27 09:25:00,NSE,11.92,11.87,11.88,INDVIX,0
11.91,2025-11-27 09:26:00,NSE,11.91,11.85,11.87,INDVIX,0
12.04,2025-11-27 09:27:00,NSE,12.06,11.91,11.92,INDVIX,0
12.08,2025-11-27 09:28:00,NSE,12.09,12.04,12.04,INDVIX,0
12.09,2025-11-27 09:29:00,NSE,12.18,12.01,12.07,INDVIX,0
12.01,2025-11-27 09:30:00,NSE,12.09,11.93,12.09,INDVIX,0
12.01,2025-11-27 09:31:00,NSE,12.07,12.0,12.02,INDVIX,0
