ticker,company_name,sector,industry
360ONE.NS,360 ONE WAM Ltd.,Financial Services,Asset Management
3MINDIA.NS,3M India Ltd.,Industrials,Conglomerates
ABB.NS,ABB India Ltd.,Industrials,Specialty Industrial Machinery
ACC.NS,ACC Ltd.,Basic Materials,Building Materials
ACMESOLAR.NS,ACME Solar Holdings Ltd.,Utilities,Utilities - Renewable
AIAENG.NS,AIA Engineering Ltd.,Industrials,Specialty Industrial Machinery
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Basic Materials,Steel
AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,Banks - Regional
AWL.NS,AWL Agri Business Ltd.,Consumer Defensive,Packaged Foods
AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,Mortgage Finance
AARTIIND.NS,Aarti Industries Ltd.,Basic Materials,Specialty Chemicals
AAVAS.NS,Aavas Financiers Ltd.,Financial Services,Mortgage Finance
ABBOTINDIA.NS,Abbott India Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
ACE.NS,Action Construction Equipment Ltd.,Industrials,Farm & Heavy Construction Machinery
ACUTAAS.NS,Acutaas Chemicals Ltd.,Basic Materials,Specialty Chemicals
ADANIENSOL.NS,Adani Energy Solutions Ltd.,Utilities,Utilities - Independent Power Producers
ADANIENT.NS,Adani Enterprises Ltd.,Energy,Thermal Coal
ADANIGREEN.NS,Adani Green Energy Ltd.,Utilities,Utilities - Renewable
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Industrials,Marine Shipping
ADANIPOWER.NS,Adani Power Ltd.,Utilities,Utilities - Independent Power Producers
ATGL.NS,Adani Total Gas Ltd.,Utilities,Utilities - Regulated Gas
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,Financial Conglomerates
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Cyclical,Apparel Manufacturing
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Cyclical,Apparel Retail
ABREL.NS,Aditya Birla Real Estate Ltd.,Real Estate,Real Estate Services
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services,Asset Management
CPPLUS.NS,Aditya Infotech Ltd.,Industrials,Building Products & Equipment
AEGISLOG.NS,Aegis Logistics Ltd.,Energy,Oil & Gas Refining & Marketing
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Energy,Oil & Gas Equipment & Services
AFCONS.NS,Afcons Infrastructure Ltd.,Industrials,Engineering & Construction
AFFLE.NS,Affle 3i Ltd.,Communication Services,Advertising Agencies
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
ABDL.NS,Allied Blenders and Distillers Ltd.,Consumer Defensive,Beverages - Wineries & Distilleries
ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Industrials,Electrical Equipment & Parts
AMBER.NS,Amber Enterprises India Ltd.,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
